TV Show Name,Punchline,Updated By
tbbt,"Scissors cuts paper, paper covers rock, rock crushes lizard, lizard poisons Spock, Spock smashes scissors, scissors decapitates lizard, lizard eats paper, paper disproves Spock, Spock vaporizes rock, and as it always has, rock crushes scissors.",Raihan
tbbt,"We’re here to see Koothrappali, not kill Batman.",Raihan
tbbt,I haven’t cried this hard since Toy Story 3.,Raihan
tbbt,I often forget other people have limitations. It’s so sad.,Raihan
tbbt,"Amy, good luck getting these guys excited about a dinner with a theme. I gave up when no one cared about my Tom Hanks-Giving.",Raihan
tbbt,Feelings? What am I? A hippy at a love-in?,Raihan
tbbt,"We’re all pathetic and creepy, and can’t get girls. That’s why we fight robots.",Raihan
tbbt,"You better find my husband’s mother, ’cause one way or another we’re walking out of this airport with a dead woman.",Raihan
tbbt,"You think that’s bad? In college, I passed out at a frat party and woke up with more clothes on.",Raihan
tbbt,Merry Newton-mas everyone.,Raihan
tbbt,So either one of you weirdoes want to buy my underwear? Only $1400.,Raihan
tbbt,12 years after high school and I’m still at the nerd table.,Raihan
tbbt,"If it’s ‘creepy’ to use the Internet, military satellites, and robot aircraft to find a house full of gorgeous young models so I can drop in on them unexpected, then fine, I’m creepy.",Raihan
tbbt,"Game over, Moonpie.",Raihan
tbbt,"Now, when you said on the phone he broke up with a girl, you meant an actual girl? Not something you kids whipped up in a lab?",Raihan
tbbt,And what kind of doctor removes shoes from asses?,Raihan
tbbt,Bazinga,Raihan
tbbt,I think that you have as much of a chance of having a sexual relationship with Penny as the Hubble Telescope does of discovering that at the center of every black hole there is a little man with a flashlight searching for a circuit breaker.,Raihan
tbbt,"Oh, on the contrary. I found the Grinch to be a relatable, engaging character, and I was really with him right up to the point that he succumbed to social convention and returned the presents and saved Christmas. What a buzzkill that was.",Raihan
tbbt,"Hard As This May Be To Believe, It’s Possible That I’m Not Boyfriend Material.",Raihan
tbbt,"I'm Exceedingly Smart. I Graduated College At 14. While my brother was getting an STD, I was getting a Ph.D. Penicillin can't take this away.",Raihan
tbbt,I'm Not Crazy. My Mother Had Me Tested.,Raihan
tbbt,"Well, that’s no reason to cry. One cries because one is sad. For example, I cry because others are stupid and it makes me sad.",Raihan
tbbt,"Robert Oppenheimer was lonely. This is Enrico Fermi, Richard Feynman, Edward Teller, Otto Frisch, and Zazzles. I was going to name him Hermann von Helmholtz, but he's so zazzy.",Raihan
tbbt,"Penny, while I subscribe to the many worlds theory which posits the existence of an infinite number of Sheldons in an infinite number of universes - I assure you that in none of them am I dancing.",Raihan
himym,"Whenever I’m sad, I stop being sad and be awesome instead.",Raihan
himym,"It’s just, eventually, we’re all gonna move on. It’s called growing up.",Raihan
himym,"The future is scary, but you can’t just run back to the past because it’s familiar. Yes, it’s tempting, but it’s a mistake.",Raihan
himym,Everyone has an opinion on how long it takes to recover from a breakup.,Raihan
himym,"I realized that I’m searching, searching for what I really want in life. And you know what? I have absolutely no idea what that is.",Raihan
himym,"Because sometimes even if you know how something’s gonna end, that doesn’t mean you can’t enjoy the ride.",Raihan
himym,A lie is just a great story that someone ruined with the truth.,Raihan
himym,"I finally found the one, Marshall. Her name is Bacon.",Raihan
himym,The best I can give you is a fake smile and dead eyes.,Raihan
himym,"The three-day rule is a childish, manipulative mind game. But yeah, you wait three days.",Raihan
himym,Whether a gesture’s charming or alarming depends on how it’s received.,Raihan
himym,I really don’t like feelings.,Raihan
himym,"The only reason to wait a month for sex is if she’s 17 years, 11 months old.",Raihan
himym,I’m a good boyfriend in my sleep.,Raihan
himym,"Believe it or not, I was not always as awesome as I am today.",Raihan
himym,"In marriage, being right is less important than being supportive. Remember: Happy wife equals happy life.",Raihan
himym,Maybe this isn’t a breakup. Maybe this is just two friends getting back together.,Raihan
himym,Oprah wasn’t built in a day.,Raihan
himym,Death is all around us.,Raihan
himym,"Article 24: “When wearing a baseball cap, a Bro may position the brim at either 12 or 6 o’clock. All other angles are reserved for rappers and the handicapped.",Raihan
himym,I just want to say from the bottom of my heart… I’m going to kill you.,Raihan
himym,"I thought I saw Big Foot in the park, so I tackled him.",Raihan
himym,Happy Slapsgiving!,Raihan
himym,"If you have chemistry, all you need is one other thing — timing. But timing’s a bitch.",Raihan
himym,All hail Beercules!,Raihan
himym,"That was the night I was born. I rose like a phoenix from her mentholated bosom and strode into the world, Armani-clad and fully awesome.",Raihan
himym,"I’m sorry, when I’m excited I abbreviate words I shouldn’t.",Raihan
himym,You’re in your 40s and you have a playbook. That’s the sad part.,Raihan
himym,It’s time to let go of the fantasies. It’s time to grow up.,Raihan
himym,"Dude… where’s your suit? Just once, when I say “suit up,” I wish you’d put on a suit.",Raihan
himym,The Bro Code has been around for centuries. Nay… whatever’s more than centuries.,Raihan
himym,"It’s going to be legen — wait for it — and I hope you’re not lactose intolerant, because the second half of the word is — dary! Legendary!",Raihan
himym,"Nothing good happens after 2 a.m. When 2 a.m. rolls around, just go home and go to sleep.",Raihan
himym,"I’ve been dreaming of that since I was five. Well, that and my own operational Death Star.",Raihan
himym,"Whatever you do in this life, it’s not legendary, unless your friends are there to see it.",Raihan
tahm,Alcohol is for people who can afford to lose some brain cells.,Raihan
tahm,"You’ve been living here for a few weeks now, I assume you have blood in your stool.",Raihan
tahm,"Charlie, there’s a half-naked woman in the kitchen. ; Which half?",Raihan
tahm,"Charlie, I need you to be my ears and eyes. ; Okay, but you have to be my liver and prostate.",Raihan
tahm,"The day you start accepting limitations is the day you start dying, and I am not dying, my friend. I am living life to the fullest. Now, if you'll excuse me, I'm gonna go throw up and take a nap.",Raihan
tahm,No dogs in my house. Especially stolen dogs that are big enough to make me their b**ch.,Raihan
tahm,Her high school graduation pictures are probably on a cave wall in France.,Raihan
tahm,"It seems like yesterday I could party all night and eat and drink anything I wanted to. Now, a couple of Red Bulls and a waffle and I'm sittin' in the emergency room, prayin' for a fart.",Raihan
tahm,"I watch one donkey sex show, and you make me pay for it the rest of my life!",Raihan
tahm,"I either drank too much, or got hit by a train",Raihan
tahm,"Oh sweetheart, take it from me, spending time with one’s children is greatly overrated.",Raihan
tahm,"No, as long as I got someone to clean my house and some action on a regular basis, I don’t need a wife.",Raihan
tahm,I think God gives us children so death won’t come as *such* a disappointment.,Raihan
tahm,The quiet ones are always the freaks.,Raihan
tahm,I’m not gay. I’m literate and urbane and that confuses people.,Raihan
tahm,Why does anyone want a party? To feel superior while feigning humility!,Raihan
tahm,And you call yourself a drummer. Keith Moon is vomitting in his grave.,Raihan
tahm,It’s just never a good idea to tell a woman more than they need to know.,Raihan
tahm,Children are God’s little way of punishing us for having sex.,Raihan
tahm,"I’ll give you a hint, I didn’t do the dog people style.",Raihan
tahm,"In the dating game, wedding rings are like kryptonite. If superman was a vagina.",Raihan
tahm,"That is one talented lady; and by talented… I mean annoying; and by lady, I mean bitch.",Raihan
tahm,Women reject me for 100 different reasons. White teeth would reduce that to 99 problems.,Raihan
tahm,"Come on Sam, time is money and you are out of both.",Raihan
tahm,"My p*nis is like Santa Claus, I don’t have to see it, I just need to believe it exists.",Raihan
tahm,I love sleeping so much sometimes I even dream about it.,Raihan
tahm,"My name is Charlie, and, um, my maid says I’m a sex addict",Raihan
tahm,"I’d rather be a second-class citizen here in paradise, than king of a urine-soaked, fire-trap next to Burbank Airport!",Raihan
tahm,"Congratulations, Alan… your son is officially pastry-whipped.",Raihan
tahm,Show me the better!,Raihan
